행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시
1111077,344471.0,2039.0,713.0,451.0,285.0,2367.0,3205.0,5015.0,13172.0,15446.0,14774.0,16145.0,18750.0,19865.0,20379.0,22915.0,26735.0,28119.0,27302.0,27172.0,20606.0,18228.0,16770.0,16359.0,7659.0
1111078,688039.0,1796.0,437.0,228.0,251.0,3028.0,12077.0,27836.0,70947.0,78020.0,49677.0,38660.0,36880.0,39942.0,36999.0,34567.0,39536.0,45270.0,42278.0,39103.0,26483.0,19931.0,19910.0,16631.0,7552.0
1111079,1079321.0,4873.0,1330.0,923.0,927.0,3223.0,22192.0,36149.0,87924.0,109814.0,69605.0,56066.0,55734.0,59437.0,61322.0,59005.0,61491.0,67822.0,73436.0,71889.0,48694.0,37449.0,37251.0,34400.0,18365.0
1112051,922609.0,2193.0,500.0,258.0,121.0,2850.0,16099.0,37819.0,98772.0,115714.0,74850.0,55329.0,50286.0,51150.0,49460.0,46621.0,46692.0,50186.0,52657.0,55824.0,34795.0,25973.0,23847.0,20948.0,9665.0
1112052,579742.0,7404.0,1610.0,567.0,157.0,3530.0,7566.0,16475.0,39692.0,45248.0,31792.0,28490.0,28397.0,30110.0,29625.0,30118.0,32254.0,37818.0,37796.0,42579.0,36583.0,26272.0,24497.0,24044.0,17118.0
1112055,1244950.0,1943.0,154.0,116.0,57.0,2208.0,27475.0,53246.0,127490.0,155107.0,99254.0,70956.0,67929.0,76709.0,69363.0,65535.0,67153.0,76486.0,68010.0,60106.0,43454.0,35719.0,33990.0,28139.0,14351.0
1112056,503518.0,2680.0,766.0,323.0,158.0,1830.0,7491.0,17460.0,43008.0,54624.0,34260.0,26544.0,25829.0,27239.0,26884.0,25731.0,28449.0,32849.0,30187.0,29743.0,23754.0,18900.0,18219.0,16600.0,9990.0
1112057,288751.0,469.0,180.0,85.0,139.0,4751.0,6828.0,13855.0,29359.0,32438.0,22810.0,18466.0,17787.0,17002.0,17054.0,15193.0,16260.0,18221.0,15245.0,13491.0,9241.0,6975.0,6273.0,5075.0,1554.0
1112058,960780.0,3127.0,508.0,167.0,92.0,2622.0,15063.0,28616.0,71836.0,88804.0,57887.0,46902.0,48823.0,53330.0,55161.0,57384.0,63732.0,69888.0,69846.0,67950.0,46455.0,37435.0,34128.0,27425.0,13599.0
1112059,516008.0,2757.0,105.0,0.0,0.0,4212.0,8575.0,15193.0,35019.0,42286.0,29779.0,24228.0,24761.0,27778.0,28454.0,28553.0,29972.0,33526.0,35849.0,38635.0,31516.0,23179.0,21729.0,19387.0,10515.0
1112060,185338.0,347.0,73.0,0.0,0.0,829.0,3706.0,10135.0,21948.0,21499.0,15175.0,11345.0,10932.0,10829.0,10216.0,9710.0,9952.0,10916.0,10865.0,9294.0,5608.0,4170.0,3503.0,2779.0,1507.0
1112065,777619.0,2134.0,460.0,175.0,120.0,3273.0,15881.0,33329.0,83888.0,105518.0,60962.0,44584.0,42806.0,43358.0,42018.0,38299.0,38824.0,42708.0,42251.0,41711.0,29356.0,20851.0,19653.0,17393.0,8067.0
1112066,538315.0,1077.0,76.0,20.0,9.0,1681.0,13569.0,25436.0,63982.0,76960.0,45345.0,31972.0,28850.0,30005.0,28100.0,26536.0,27154.0,32447.0,28310.0,24961.0,17205.0,11632.0,10804.0,8106.0,4078.0
1112067,539879.0,2529.0,465.0,148.0,50.0,1601.0,10392.0,22240.0,49683.0,65466.0,40491.0,28595.0,27025.0,27704.0,27814.0,25454.0,27050.0,30565.0,32857.0,35918.0,25893.0,18165.0,16441.0,15107.0,8226.0
1112068,228067.0,1099.0,251.0,66.0,104.0,1841.0,4121.0,9161.0,22804.0,25965.0,15679.0,12112.0,11444.0,11732.0,11471.0,11295.0,13270.0,16106.0,17054.0,16193.0,8834.0,5716.0,5311.0,4199.0,2239.0
1112071,1264232.0,5396.0,1058.0,596.0,290.0,4020.0,16817.0,46027.0,125925.0,129299.0,83033.0,66231.0,66392.0,68175.0,68145.0,72736.0,82258.0,90988.0,85198.0,73777.0,51555.0,41006.0,38491.0,32188.0,14631.0
1112072,324077.0,1361.0,649.0,601.0,172.0,4647.0,6246.0,12202.0,24081.0,27264.0,20879.0,17670.0,17598.0,19500.0,18928.0,20094.0,22879.0,22705.0,19946.0,18575.0,13989.0,11077.0,9752.0,8579.0,4683.0
