"""동별""","""연령별""","""항목""","""2023. 1/4""",ADSTRD_CD_x,ADSTRD_NM,ADSTRD_CD_y
무악동,계,외국인,31,1101057,무악동,11110570
무악동,0~4세,계,206,1101057,무악동,11110570
무악동,0~4세,한국인,206,1101057,무악동,11110570
무악동,0~4세,외국인,0,1101057,무악동,11110570
무악동,5~9세,계,352,1101057,무악동,11110570
무악동,5~9세,한국인,352,1101057,무악동,11110570
무악동,5~9세,외국인,0,1101057,무악동,11110570
무악동,10~14세,계,478,1101057,무악동,11110570
무악동,10~14세,한국인,476,1101057,무악동,11110570
무악동,10~14세,외국인,2,1101057,무악동,11110570
무악동,15~19세,계,462,1101057,무악동,11110570
무악동,15~19세,한국인,462,1101057,무악동,11110570
무악동,15~19세,외국인,0,1101057,무악동,11110570
무악동,20~24세,계,453,1101057,무악동,11110570
무악동,20~24세,한국인,451,1101057,무악동,11110570
무악동,20~24세,외국인,2,1101057,무악동,11110570
무악동,25~29세,계,397,1101057,무악동,11110570
무악동,25~29세,한국인,396,1101057,무악동,11110570
무악동,25~29세,외국인,1,1101057,무악동,11110570
무악동,30~34세,계,372,1101057,무악동,11110570
무악동,30~34세,한국인,368,1101057,무악동,11110570
무악동,30~34세,외국인,4,1101057,무악동,11110570
무악동,35~39세,계,484,1101057,무악동,11110570
무악동,35~39세,한국인,478,1101057,무악동,11110570
무악동,35~39세,외국인,6,1101057,무악동,11110570
무악동,40~44세,계,623,1101057,무악동,11110570
무악동,40~44세,한국인,620,1101057,무악동,11110570
무악동,40~44세,외국인,3,1101057,무악동,11110570
무악동,45~49세,계,683,1101057,무악동,11110570
무악동,45~49세,한국인,679,1101057,무악동,11110570
무악동,45~49세,외국인,4,1101057,무악동,11110570
무악동,50~54세,계,853,1101057,무악동,11110570
무악동,50~54세,한국인,848,1101057,무악동,11110570
무악동,50~54세,외국인,5,1101057,무악동,11110570
무악동,55~59세,계,591,1101057,무악동,11110570
무악동,55~59세,한국인,589,1101057,무악동,11110570
무악동,55~59세,외국인,2,1101057,무악동,11110570
무악동,60~64세,계,602,1101057,무악동,11110570
무악동,60~64세,한국인,600,1101057,무악동,11110570
무악동,60~64세,외국인,2,1101057,무악동,11110570
무악동,65~69세,계,475,1101057,무악동,11110570
무악동,65~69세,한국인,475,1101057,무악동,11110570
무악동,65~69세,외국인,0,1101057,무악동,11110570
무악동,70~74세,계,329,1101057,무악동,11110570
무악동,70~74세,한국인,329,1101057,무악동,11110570
무악동,70~74세,외국인,0,1101057,무악동,11110570
무악동,75~79세,계,260,1101057,무악동,11110570
무악동,75~79세,한국인,260,1101057,무악동,11110570
무악동,75~79세,외국인,0,1101057,무악동,11110570
무악동,80~84세,계,271,1101057,무악동,11110570
무악동,80~84세,한국인,271,1101057,무악동,11110570
무악동,80~84세,외국인,0,1101057,무악동,11110570
무악동,85~89세,계,107,1101057,무악동,11110570
무악동,85~89세,한국인,107,1101057,무악동,11110570
무악동,85~89세,외국인,0,1101057,무악동,11110570
무악동,90~94세,계,36,1101057,무악동,11110570
무악동,90~94세,한국인,36,1101057,무악동,11110570
무악동,90~94세,외국인,0,1101057,무악동,11110570
무악동,95~99세,계,8,1101057,무악동,11110570
무악동,95~99세,한국인,8,1101057,무악동,11110570
무악동,95~99세,외국인,0,1101057,무악동,11110570
무악동,100세 이상,계,3,1101057,무악동,11110570
무악동,100세 이상,한국인,3,1101057,무악동,11110570
무악동,100세 이상,외국인,0,1101057,무악동,11110570
교남동,계,계,9925,1101058,교남동,11110580
교남동,계,한국인,9751,1101058,교남동,11110580
교남동,계,외국인,174,1101058,교남동,11110580
교남동,0~4세,계,336,1101058,교남동,11110580
교남동,0~4세,한국인,333,1101058,교남동,11110580
교남동,0~4세,외국인,3,1101058,교남동,11110580
교남동,5~9세,계,416,1101058,교남동,11110580
교남동,5~9세,한국인,408,1101058,교남동,11110580
교남동,5~9세,외국인,8,1101058,교남동,11110580
교남동,10~14세,계,410,1101058,교남동,11110580
교남동,10~14세,한국인,403,1101058,교남동,11110580
교남동,10~14세,외국인,7,1101058,교남동,11110580
교남동,15~19세,계,422,1101058,교남동,11110580
교남동,15~19세,한국인,413,1101058,교남동,11110580
교남동,15~19세,외국인,9,1101058,교남동,11110580
교남동,20~24세,계,468,1101058,교남동,11110580
교남동,20~24세,한국인,464,1101058,교남동,11110580
교남동,20~24세,외국인,4,1101058,교남동,11110580
교남동,25~29세,계,659,1101058,교남동,11110580
교남동,25~29세,한국인,651,1101058,교남동,11110580
교남동,25~29세,외국인,8,1101058,교남동,11110580
교남동,30~34세,계,718,1101058,교남동,11110580
교남동,30~34세,한국인,705,1101058,교남동,11110580
교남동,30~34세,외국인,13,1101058,교남동,11110580
교남동,35~39세,계,777,1101058,교남동,11110580
교남동,35~39세,한국인,748,1101058,교남동,11110580
교남동,35~39세,외국인,29,1101058,교남동,11110580
교남동,40~44세,계,899,1101058,교남동,11110580
교남동,40~44세,한국인,874,1101058,교남동,11110580
교남동,40~44세,외국인,25,1101058,교남동,11110580
교남동,45~49세,계,852,1101058,교남동,11110580
교남동,45~49세,한국인,829,1101058,교남동,11110580
교남동,45~49세,외국인,23,1101058,교남동,11110580
교남동,50~54세,계,943,1101058,교남동,11110580
교남동,50~54세,한국인,927,1101058,교남동,11110580
교남동,50~54세,외국인,16,1101058,교남동,11110580
교남동,55~59세,계,719,1101058,교남동,11110580
교남동,55~59세,한국인,709,1101058,교남동,11110580
교남동,55~59세,외국인,10,1101058,교남동,11110580
교남동,60~64세,계,643,1101058,교남동,11110580
교남동,60~64세,한국인,637,1101058,교남동,11110580
교남동,60~64세,외국인,6,1101058,교남동,11110580
교남동,65~69세,계,551,1101058,교남동,11110580
교남동,65~69세,한국인,544,1101058,교남동,11110580
교남동,65~69세,외국인,7,1101058,교남동,11110580
교남동,70~74세,계,404,1101058,교남동,11110580
교남동,70~74세,한국인,400,1101058,교남동,11110580
교남동,70~74세,외국인,4,1101058,교남동,11110580
교남동,75~79세,계,296,1101058,교남동,11110580
교남동,75~79세,한국인,296,1101058,교남동,11110580
교남동,75~79세,외국인,0,1101058,교남동,11110580
교남동,80~84세,계,247,1101058,교남동,11110580
교남동,80~84세,한국인,246,1101058,교남동,11110580
교남동,80~84세,외국인,1,1101058,교남동,11110580
교남동,85~89세,계,123,1101058,교남동,11110580
교남동,85~89세,한국인,123,1101058,교남동,11110580
교남동,85~89세,외국인,0,1101058,교남동,11110580
교남동,90~94세,계,36,1101058,교남동,11110580
교남동,90~94세,한국인,36,1101058,교남동,11110580
교남동,90~94세,외국인,0,1101058,교남동,11110580
교남동,95~99세,계,6,1101058,교남동,11110580
교남동,95~99세,한국인,5,1101058,교남동,11110580
교남동,95~99세,외국인,1,1101058,교남동,11110580
교남동,100세 이상,계,0,1101058,교남동,11110580
교남동,100세 이상,한국인,0,1101058,교남동,11110580
교남동,100세 이상,외국인,0,1101058,교남동,11110580
가회동,계,계,4084,1101060,가회동,11110600
가회동,계,한국인,3962,1101060,가회동,11110600
가회동,계,외국인,122,1101060,가회동,11110600
가회동,0~4세,계,63,1101060,가회동,11110600
가회동,0~4세,한국인,59,1101060,가회동,11110600
가회동,0~4세,외국인,4,1101060,가회동,11110600
가회동,5~9세,계,113,1101060,가회동,11110600
가회동,5~9세,한국인,108,1101060,가회동,11110600
가회동,5~9세,외국인,5,1101060,가회동,11110600
가회동,10~14세,계,161,1101060,가회동,11110600
가회동,10~14세,한국인,155,1101060,가회동,11110600
가회동,10~14세,외국인,6,1101060,가회동,11110600
가회동,15~19세,계,151,1101060,가회동,11110600
가회동,15~19세,한국인,145,1101060,가회동,11110600
가회동,15~19세,외국인,6,1101060,가회동,11110600
가회동,20~24세,계,191,1101060,가회동,11110600
가회동,20~24세,한국인,188,1101060,가회동,11110600
가회동,20~24세,외국인,3,1101060,가회동,11110600
가회동,25~29세,계,245,1101060,가회동,11110600
가회동,25~29세,한국인,242,1101060,가회동,11110600
가회동,25~29세,외국인,3,1101060,가회동,11110600
가회동,30~34세,계,272,1101060,가회동,11110600
가회동,30~34세,한국인,266,1101060,가회동,11110600
가회동,30~34세,외국인,6,1101060,가회동,11110600
가회동,35~39세,계,275,1101060,가회동,11110600
가회동,35~39세,한국인,260,1101060,가회동,11110600
가회동,35~39세,외국인,15,1101060,가회동,11110600
가회동,40~44세,계,340,1101060,가회동,11110600
가회동,40~44세,한국인,323,1101060,가회동,11110600
가회동,40~44세,외국인,17,1101060,가회동,11110600
가회동,45~49세,계,334,1101060,가회동,11110600
가회동,45~49세,한국인,321,1101060,가회동,11110600
가회동,45~49세,외국인,13,1101060,가회동,11110600
가회동,50~54세,계,393,1101060,가회동,11110600
가회동,50~54세,한국인,381,1101060,가회동,11110600
가회동,50~54세,외국인,12,1101060,가회동,11110600
가회동,55~59세,계,336,1101060,가회동,11110600
가회동,55~59세,한국인,321,1101060,가회동,11110600
가회동,55~59세,외국인,15,1101060,가회동,11110600
가회동,60~64세,계,361,1101060,가회동,11110600
가회동,60~64세,한국인,348,1101060,가회동,11110600
가회동,60~64세,외국인,13,1101060,가회동,11110600
가회동,65~69세,계,221,1101060,가회동,11110600
가회동,65~69세,한국인,219,1101060,가회동,11110600
가회동,65~69세,외국인,2,1101060,가회동,11110600
가회동,70~74세,계,199,1101060,가회동,11110600
가회동,70~74세,한국인,197,1101060,가회동,11110600
가회동,70~74세,외국인,2,1101060,가회동,11110600
가회동,75~79세,계,184,1101060,가회동,11110600
가회동,75~79세,한국인,184,1101060,가회동,11110600
가회동,75~79세,외국인,0,1101060,가회동,11110600
가회동,80~84세,계,141,1101060,가회동,11110600
가회동,80~84세,한국인,141,1101060,가회동,11110600
가회동,80~84세,외국인,0,1101060,가회동,11110600
가회동,85~89세,계,71,1101060,가회동,11110600
가회동,85~89세,한국인,71,1101060,가회동,11110600
가회동,85~89세,외국인,0,1101060,가회동,11110600
가회동,90~94세,계,25,1101060,가회동,11110600
가회동,90~94세,한국인,25,1101060,가회동,11110600
가회동,90~94세,외국인,0,1101060,가회동,11110600
가회동,95~99세,계,8,1101060,가회동,11110600
가회동,95~99세,한국인,8,1101060,가회동,11110600
가회동,95~99세,외국인,0,1101060,가회동,11110600
가회동,100세 이상,계,0,1101060,가회동,11110600
가회동,100세 이상,한국인,0,1101060,가회동,11110600
가회동,100세 이상,외국인,0,1101060,가회동,11110600
종로1·2·3·4가동,계,계,8711,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,계,한국인,6740,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,계,외국인,1971,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,0~4세,계,150,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,0~4세,한국인,80,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,0~4세,외국인,70,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,5~9세,계,194,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,5~9세,한국인,82,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,5~9세,외국인,112,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,10~14세,계,226,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,10~14세,한국인,108,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,10~14세,외국인,118,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,15~19세,계,186,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,15~19세,한국인,92,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,15~19세,외국인,94,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,20~24세,계,583,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,20~24세,한국인,344,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,20~24세,외국인,239,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,25~29세,계,782,1101061,종로1·2·3·4가동,11110615
종로1·2·3·4가동,25~29세,한국인,628,1101061,종로1·2·3·4가동,11110615
