,종목명,현재가,전일비,등락률,액면가,거래량,상장주식수,시가총액,외국인비율,PER,ROE
425,BGF,"3,725",25,+0.68%,"1,000","95,438","95,717","3,565",4.11,8.30,1.50
426,아세아제지,"39,750","4,550",+12.93%,"5,000","524,181","8,957","3,560",5.34,4.11,12.43
427,코오롱플라스틱,"9,320",10,-0.11%,"1,000","45,230","38,000","3,542",0.56,9.57,14.98
428,KBSTAR KIS국고채30년Enhanced,"68,280",840,+1.25%,0,"76,515","5,140","3,510",0.80,N/A,N/A
429,아모레퍼시픽우,"33,100",250,-0.75%,500,"7,926","10,558","3,495",56.48,21.91,N/A
430,퍼시스,"30,300",100,-0.33%,"1,000",255,"11,500","3,484",18.93,15.21,N/A
431,ARIRANG 종합채권(AA-이상)액티브,"102,480",525,+0.51%,0,4,"3,397","3,481",0.00,N/A,N/A
432,SOL 종합채권(AA-이상)액티브,"101,565",455,+0.45%,0,12,"3,417","3,470",0.00,N/A,N/A
433,SNT다이내믹스,"10,410",90,-0.86%,"2,500","59,563","33,253","3,462",3.82,12.02,3.51
434,백광산업,"7,700",110,-1.41%,500,"1,347,041","44,918","3,459",1.39,16.56,10.87
435,TIGER 25-10 회사채(A+이상)액티브,"50,555",170,+0.34%,0,"26,836","6,806","3,441",0.06,N/A,N/A
436,E1,"50,100",100,+0.20%,"5,000","4,136","6,860","3,437",4.32,1.67,10.31
437,LG헬로비전,"4,430",70,-1.56%,"2,500","543,002","77,447","3,431",6.24,-15.12,-4.07
438,신도리코,"34,000",200,+0.59%,"5,000","2,635","10,080","3,427",9.68,7.59,4.73
439,광동제약,"6,530",130,+2.03%,"1,000","91,365","52,421","3,423",18.65,11.18,4.76
440,한화3우B,"15,230",480,+3.25%,"5,000","78,037","22,472","3,422",14.34,0.90,N/A
441,일성신약,"25,600",200,+0.79%,"1,000","4,240","13,300","3,405",0.93,2.83,26.59
442,서울가스,"67,900",100,+0.15%,"5,000","15,203","5,000","3,395",3.86,23.09,1.70
443,이아이디,"1,392",0,0.00%,200,0,"243,757","3,393",2.74,-1.54,-47.66
444,대신증권우,"13,000",50,+0.39%,"5,000","16,276","26,000","3,380",10.18,11.28,N/A
445,포스코스틸리온,"55,700",300,+0.54%,"5,000","260,687","6,000","3,342",1.47,51.67,6.84
446,대한제강,"13,480",230,+1.74%,"1,000","42,288","24,647","3,322",7.31,4.12,18.50
447,남선알미늄,"2,570",45,-1.72%,500,"1,739,717","129,079","3,317",4.72,17.13,10.30
448,교보증권,"5,120",80,+1.59%,"5,000","22,541","64,653","3,310",2.10,4.59,2.93
449,한국토지신탁,"1,311",7,-0.53%,"1,000","772,999","252,489","3,310",8.16,69.00,2.36
450,한일현대시멘트,"17,100",80,+0.47%,"5,000","9,333","19,328","3,305",0.31,6.87,10.38
451,TYM,"7,330",240,-3.17%,"2,500","343,265","45,051","3,302",4.53,3.38,33.53
452,일양약품,"17,210",430,+2.56%,"2,500","52,767","19,086","3,285",6.99,20.84,8.39
